win_id,t_rel_start,mbps_Uplink,mbps_Downlink,pps_Uplink,pps_Downlink,len_mean_Uplink,len_mean_Downlink,iat_mean_Uplink,iat_mean_Downlink,iat_var_Uplink,iat_var_Downlink,rssi_mean_Uplink,rssi_mean_Downlink,snr_mean_Uplink,snr_mean_Downlink,sleep_fraction,qos_frac_BE,qos_frac_BK,qos_frac_VI,qos_frac_VO
0,0.0,0.028738666666666666,0.23188693333333332,33.0,23.666666666666668,108.85858585858585,1224.7549295774647,0.019618484172743825,0.026681310712954417,0.006542125049930884,0.03235618582811969,-29.636363636363637,-48.53802816901408,66.36363636363636,47.46197183098592,0.33290688196818036,0.9649122807017544,0.0,0.0,0.03508771929824561
1,15.0,0.07435573333333333,0.42572746666666667,77.26666666666667,50.666666666666664,120.29076790336497,1050.3144736842105,0.012637614792080946,0.01899428078622529,0.002052825234853086,0.008198644545519253,-28.226919758412425,-50.33552631578947,67.77308024158758,45.66447368421053,0.30501599311828614,0.9844748858447488,0.0136986301369863,0.0,0.0018264840182648401
2,30.0,0.022943466666666665,0.5898368,30.0,55.0,95.59777777777778,1340.5381818181818,0.032280745644346374,0.015514316778738522,0.015116344092530576,0.01650595255413168,-27.935555555555556,-45.52969696969697,68.06444444444445,50.47030303030303,0.6146632671356201,0.9901315789473685,0.0,0.0010964912280701754,0.008771929824561403
3,45.0,0.027525333333333332,0.37642026666666667,28.4,37.666666666666664,121.15023474178403,1249.1823008849558,0.032623397602754484,0.023310906075416728,0.03145583806336979,0.051915239905531395,-27.171361502347416,-47.5858407079646,68.82863849765258,48.4141592920354,0.6734664440155029,0.9927745664739884,0.0,0.0,0.0072254335260115606
4,60.0,0.07524746666666667,5.137378666666667,74.6,464.8666666666667,126.08489722966935,1381.4118743725799,0.012684741472302268,0.0019862115622524277,0.002144216102350793,0.0016476340498846494,-30.20732797140304,-44.881399684497346,65.79267202859697,51.118600315502654,0.4349620501200358,0.9953835709436524,0.00013577732518669383,0.0004073319755600815,0.004073319755600814
5,75.0,0.044912,1.1172357333333334,55.93333333333333,103.86666666666666,100.36948748510132,1344.5551989730423,0.017897315127752847,0.009217178507653582,0.007520219841548686,0.01189206888077404,-24.189511323003575,-44.49935815147625,71.81048867699643,51.50064184852375,0.42551957766215004,0.9819136522753792,0.0,0.003500583430571762,0.014585764294049008
6,90.0,0.026842666666666667,0.27696906666666665,32.0,26.8,104.85416666666667,1291.8333333333333,0.030020522175352858,0.009783341700299422,0.04603794875732679,0.007669199117424569,-21.595833333333335,-50.75373134328358,74.40416666666667,45.24626865671642,0.06376066207885742,0.9345794392523364,0.0,0.007476635514018692,0.05794392523364486
7,105.0,0.03305866666666667,2.608765866666667,44.6,236.06666666666666,92.65321375186846,1381.3713640214628,0.022369592846510654,0.0038784660861990545,0.010132401631941854,0.005923550632445213,-19.581464872944693,-46.1959898333804,76.4185351270553,49.8040101666196,0.5758260409037272,0.9986435160065111,0.00027129679869777537,0.0,0.0010851871947911015
8,120.0,0.0187696,1.5131392,21.133333333333333,137.26666666666668,111.01892744479495,1377.9193783389994,0.0453788260870342,0.00454190382109439,0.03862038902971298,0.006598870602075715,-23.457413249211356,-44.69791160757649,72.54258675078864,51.30208839242351,0.8167945543924967,0.9972235076353541,0.0,0.00046274872744099955,0.0023137436372049976
9,135.0,0.04395893333333333,1.8022421333333334,50.0,164.93333333333334,109.89733333333334,1365.8868229587713,0.01889030828335893,0.005408946290654399,0.007557944304687018,0.005419821157110264,-21.776,-45.03678253839935,74.224,50.96321746160065,0.6370442549387614,1.0,0.0,0.0,0.0
